"相変わらず","あいかわらず","as usual, as always, as before, as ever, still"
"","アイデア","idea"
"曖昧","あいまい","vague, ambiguous, unclear; shady, disreputable; fuzzy"
"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"扇ぐ","あおぐ","to fan; to incite, to instigate"
"青白い","あおじろい","pale, pallid; bluish-white"
"赤ん坊","あかんぼう","baby, infant"
"空き","あき","space, room, gap, emptiness; vacancy, opening, empty seat; free time, time to spare; disuse, unused thing"
"呆れる","あきれる","to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated, to be fed up"
"","アクセント","accent (on a syllable, word), stress, pitch accent; intonation, inflection, cadence; (language) accent (e.g. American, British); accent (e.g. in a design), highlight, emphasis; accent (on a note)"
"欠伸","あくび","yawn, yawning; kanji ""yawning"" radical (radical 76)"
"飽くまで","あくまで","to the end, to the bitter end, to the last, stubbornly, persistently, consistently, to the utmost; after all, it must be remembered, only, purely, simply"
"明け方","あけがた","dawn"
"上げる","あげる","to raise, to elevate; to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to give; to send someone (away); to enrol (one's child in school), to enroll; to increase (price, quality, status, etc.), to develop (talent, skill), to improve; to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to summon (for geishas, etc.); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ..."
"憧れる","あこがれる","to long for, to yearn after, to admire, to be attracted by"
"足跡","あしあと","footprints; record of page visitors (e.g. in social networking sites)"
"味わう","あじわう","to taste, to savor, to savour, to relish; to appreciate, to enjoy, to relish, to digest; to experience, to go through, to taste (e.g. victory), to know (e.g. pain)"
"預かる","あずかる","to look after, to take care of, to keep, to hold on to, to keep in custody; to be put in charge of, to be given responsibility for, to be entrusted with; to withhold (an announcement), to reserve (judgment), to leave undecided; to take upon oneself (to do), to settle (a matter) oneself"
"温まる","あたたまる","to warm oneself, to sun oneself, to warm up, to get warm"
"温める","あたためる","to warm (up), to heat (up); to sit on (an idea, plan, etc.), to keep to oneself, to nurse, to mull over; to renew (an old friendship); to take for oneself"
"当たり前","あたりまえ","natural, reasonable, obvious; usual, common, ordinary, commonplace, the norm"
"彼方此方","あちこち","here and there, various places, all around, all over, everywhere, throughout; muddled, confused, in the wrong order, back to front"
"圧縮","あっしゅく","compression; condensing, shortening, summarizing; compression (of data)"
"厚かましい","あつかましい","impudent, shameless, brazen"
"宛名","あてな","name and address (on an envelope, etc.), (addressee's) name, addressee"
"当てはまる","あてはまる","to apply (a rule), to be applicable, to come under (a category), to fulfill, to hold true"
"当てはめる","あてはめる","to apply, to adapt"
"暴れる","あばれる","to act violently, to rage, to struggle, to be riotous"
"溢れる","あふれる","to overflow, to brim over, to flood"
"脂","あぶら","fat, tallow, lard, grease"
