"豊か","ゆたか","abundant, plentiful, rich, ample; rich, wealthy, affluent, well-off; open (mind), relaxed, easy; plump (e.g. breasts), full, ample; (well) over, (easily) in excess of"
"豊作","ほうさく","abundant harvest, bumper crop"
"得る","える","to get, to earn, to acquire, to procure, to gain, to secure, to attain, to obtain, to win; to understand, to comprehend; to receive something undesirable (e.g. a punishment), to get (ill); to be able to ..., can ..."
"得意","とくい","satisfaction, pride, triumph, elation; one's strong point, one's forte, one's specialty; regular customer, regular client, patron"
"逆らう","さからう","to go against, to oppose, to disobey, to defy"
"逆","ぎゃく","reverse, opposite; converse (of a hypothesis, etc.); inverse (function)"
"お互い","おたがい","each other, one another"
"相互","そうご","mutual, reciprocal"
"伸びる","のびる","to stretch, to extend, to lengthen, to grow (of hair, height, grass, etc.); to straighten out, to be flattened, to become smooth; to spread (of paint, cream, etc.); to stretch out (e.g. of a hand), to extend; to lose elasticity, to become slack, to become soggy (e.g. noodles); to make progress, to develop, to expand, to increase, to improve; to be exhausted, to be groggy, to pass out, to collapse; to be prolonged (meeting, life span, etc.), to be extended (e.g. deadline), to lengthen (e.g. of the days); to be postponed, to be delayed, to be put off"
"与える","あたえる","to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply; to assign; to cause; to pass (a variable to a function)"
"貸与","たいよ","loan, lending"
"可能","かのう","possible, potential, practicable, feasible"
"趣味","しゅみ","hobby, pastime; tastes, preference, liking"
