"軈て","やがて","before long, soon, shortly; almost, nearly; finally, in the end, eventually"
"林業","りんぎょう","forestry"
"毒","どく","poison, toxicant; harm, evil influence; ill will, spite, malice; abusive language"
"獲物","えもの","prey, catch, kill, game; spoils, trophy, loot, plunder"
"嗅ぐ","かぐ","to sniff, to smell"
"獲得","かくとく","acquisition, possession"
"活性","かっせい","active"
"期限","きげん","term, period, time frame; time limit, deadline, cutoff (date)"
"業者","ぎょうしゃ","trader, dealer, businessperson, company, vendor, supplier, manufacturer, maker, contractor; fellow trader, people in the same trade"
"好奇","こうき","inquisitiveness"
"個体","こたい","individual, specimen"
"下げる","さげる","to hang, to suspend, to wear (e.g. decoration); to lower, to reduce, to bring down; to demote, to move back, to pull back; to clear (plates), to remove (food, etc. from table or altar); to keep on playing after one has formed a scoring combination with captured cards"
"住宅","じゅうたく","residence, housing, residential building"
"進行","しんこう","moving forward (e.g. vehicle), onward movement; advance (work, procedure, etc.), advancement, progress; progress (of a disease), disease progression; progression (harmonic, melodic)"
"西洋","せいよう","the West, the Occident, Western countries"
